Country:GDP per capita:SEDA:HDI:BLI – Labour market insecurity:BLI – Stakeholder engagement for developing regulations:BLI - Dwellings without basic facilities:BLI - Housing expenditure :BLI - Feeling safe walking alone at night:BLI - Rooms per person:BLI - Household net adjusted disposable income:BLI - Household net wealth:BLI - Employment rate:BLI - Long-term unemployment rate:BLI - Personal earnings:BLI - Quality of support network:BLI - Educational attainment:BLI - Student skills:BLI - Years in education:BLI - Air pollution:BLI - Water quality:BLI - Voter turnout:BLI - Life expectancy:BLI - Self-reported health:BLI - Life satisfaction:BLI - Homicide rate:BLI - Employees working very long hours:BLI - Time devoted to leisure and personal care
Greece :20571,752:63,8:0,87:29,8:1,8:0,5:23:60:1,2:17700:150134:53:15,65:26064:80:73:458:19:18:69:64:81,5:74:5,4:0,8:6,42:
Greenland :::::::::::::::::::::::::::
Grenada :11690,28::772::::::::::::::::::::::::
Guadeloupe :::::::::::::::::::::::::::
Guam :::::::::::::::::::::::::::
Guatemala :4674,589:39,2:0,65::::::::::::::::::::::::
Guernsey :::::::::::::::::::::::::::
Guinea :926,334:25:459::::::::::::::::::::::::
Guinea-Bissau :865,737::455::::::::::::::::::::::::
Guyana :4881,895:41,1:654::::::::::::::::::::::::
Haiti :853,706::498::::::::::::::::::::::::
Honduras :2569,491:38,1:617::::::::::::::::::::::::
Hong Kong :50541,891::933::::::::::::::::::::::::
Hungary :17296,331:65,3:838:4,7:1,2:4,7:19:56,3:1,2::104458:68:1,72:22576:86:84:474:16,4:19:77:70:76,2:60:5,6:1:3,03:
Iceland :68793,689:85,6:935:0,7:2,1:0:24:86:1,6:::86:0,26:61787:98:77:481:19:3:99:79:82,3:76:7,5:0,5:15,06:
India :2198,59:37,4:0,64::::::::::::::::::::::::
Indonesia :4123,297:46,3:694::::::::::::::::::::::::
Iran :5820,435:45,9:798::::::::::::::::::::::::
Iraq :5758,784:29,1:685::::::::::::::::::::::::
Ireland :76911,154:82,7:938:7,8:1,3:1:20:75,9:2,1:25310:217130:67:3,23:47653:95:82:509:18,1:7:85:65:81,8:83:7:0,7:5,25:
Isle of Man :::::::::::::::::::::::::::
Israel :42144,011:67,8:903:4,2:2,5:::69,8:1,2:::69:0,49:35067:88:87:472:15,6:21:67:72:82,5:84:7,2:1,8:15,45:
Italy :33352,93:69,7:0,88:12,3:2,5:0,7:23:58,4:1,4:26588:279889:58:6,59:36658:92:61:485:16,6:18:71:73:83,3:71:6:0,6:4,11:16,47
Jamaica :5617,659:47,3:732::::::::::::::::::::::::
Japan :41021,249:77,2:909:1,4:1,4:6,4:22:72,5:1,9:29798:305878:75:1,03:40863:89::529:16,4:14:87:53:84,1:36:5,9:0,2::
Jersey :::::::::::::::::::::::::::
Jordan :4394,942:46,5:735::::::::::::::::::::::::
Kazakhstan :8763,939:57,1:0,8::::::::::::::::::::::::
Kenya :2010,508:33,2:0,59::::::::::::::::::::::::
Kiribati :1598,247::612::::::::::::::::::::::::
Korea, North :::::::::::::::::::::::::::
Korea, South :31936,729:73,2:903:2,6:2,9:2,5:15:66,6:1,5:21882:285980:67:0,05:35191:78:88:519:17,3:28:76:77:82,4:33:5,9:1::14,7
Kuwait :29128,546:65,7:803::::::::::::::::::::::::
Kyrgyzstan :1280,178:43:672::::::::::::::::::::::::
Laos :2931,799:35,5:601::::::::::::::::::::::::
Latvia :18522,101:67,2:847:9,6:2,2:13,9:23:62,4:1,2:16275:70160:70:3,35:23683:86:88:487:18:11:79:59:74,7:47:5,9:4,8:1,27:13,83
Lebanon :9607,892:43,5:757::::::::::::::::::::::::
Lesotho :1372,505:23,4:0,52::::::::::::::::::::::::
Liberia :703,667::435::::::::::::::::::::::::
Libya :6835,615::706::::::::::::::::::::::::
Liechtenstein :::916::::::::::::::::::::::::
Lithuania :19748,939:68,7:858::2,4:13,6:19:55,9:1,5:21660::70:2,69:24287:88:93:475:18,4:14:81:51:74,8:43:5,9:3,4:0,54:
Luxembourg :112846,458:83,6:904:1,7:1,7:0,5:21:75,8:1,9:39264:769053:66:2,35:63062:93:77:483:15,1:12:84:91:82,8:69:6,9:0,6:3,82:
Macau :86416,604::::::::::::::::::::::::::
Macedonia :6198,495:50,7:757::::::::::::::::::::::::
Madagascar :470,672:27,8:519::::::::::::::::::::::::
Malawi :366,532:28,7:477::::::::::::::::::::::::
Malaysia :11385,108:60,8:802::::::::::::::::::::::::
Maldives :15463,267::717::::::::::::::::::::::::
Mali :933,88:25,7:427::::::::::::::::::::::::
Malta :32021,778:70,9:878::::::::::::::::::::::::
Marshall Islands :3866,002::708::::::::::::::::::::::::
Martinique :::::::::::::::::::::::::::
Mauritania :1191,514:25,8:0,52::::::::::::::::::::::::
Mauritius :11693,55:59,1:0,79::::::::::::::::::::::::
Mayotte :::::::::::::::::::::::::::
Mexico :9858,302:49,2:774:5,5:3,2:25,5:20:41,8:1:::61:0,07:15314:81:38:416:15,2:16:68:63:75,4:66:6,5:18,1:28,7:
Micronesia, Fed. St. :3734,12::627::::::::::::::::::::::::
Moldova :3398,872:48,5:0,7::::::::::::::::::::::::
Monaco :::::::::::::::::::::::::::
Mongolia :4150,605:49,6:741::::::::::::::::::::::::
Montserrat :::::::::::::::::::::::::::
Morocco :3409,948:42,8:667::::::::::::::::::::::::
